date,hospital_id,blood_group,component,opening_stock,received,issued,expired,closing_stock
2025-01-05,H001,AB+,PLT,50,6,5,1,50
2025-01-05,H001,AB+,FFP,39,2,1,1,39
2025-01-05,H001,A-,PRBC,20,0,2,1,17
2025-01-05,H001,A-,PLT,17,2,1,1,17
2025-01-05,H001,A-,FFP,29,0,0,1,28
2025-01-05,H001,B-,PRBC,32,3,4,1,30
2025-01-05,H001,B-,PLT,27,2,2,1,26
2025-01-05,H001,B-,FFP,44,1,3,1,41
2025-01-05,H001,O-,PRBC,52,7,6,2,51
2025-01-05,H001,O-,PLT,17,2,3,1,15
2025-01-05,H001,O-,FFP,63,0,3,2,58
2025-01-05,H001,AB-,PRBC,35,1,0,1,35
2025-01-05,H001,AB-,PLT,55,3,1,2,55
2025-01-05,H001,AB-,FFP,46,2,1,2,45
2025-01-05,H002,A+,PRBC,42,20,18,1,43
2025-01-05,H002,A+,PLT,46,15,14,2,45
2025-01-05,H002,A+,FFP,51,5,7,2,47
2025-01-05,H002,B+,PRBC,34,18,18,1,33
2025-01-05,H002,B+,PLT,12,14,12,0,14
2025-01-05,H002,B+,FFP,31,7,8,1,29
2025-01-05,H002,O+,PRBC,51,30,25,1,55
2025-01-05,H002,O+,PLT,45,14,16,2,41
2025-01-05,H002,O+,FFP,37,10,8,1,38
2025-01-05,H002,AB+,PRBC,31,6,6,1,30
2025-01-05,H002,AB+,PLT,36,3,5,1,33
2025-01-05,H002,AB+,FFP,46,3,1,2,46
2025-01-05,H002,A-,PRBC,28,3,5,1,25
2025-01-05,H002,A-,PLT,15,2,3,1,13
2025-01-05,H002,A-,FFP,44,2,2,2,42
2025-01-05,H002,B-,PRBC,25,6,5,1,25
2025-01-05,H002,B-,PLT,37,3,4,1,35
2025-01-05,H002,B-,FFP,41,3,1,2,41
2025-01-05,H002,O-,PRBC,52,9,7,1,53
2025-01-05,H002,O-,PLT,34,3,3,2,32
2025-01-05,H002,O-,FFP,21,3,2,1,21
2025-01-05,H002,AB-,PRBC,41,3,3,1,40
2025-01-05,H002,AB-,PLT,53,4,2,1,54
2025-01-05,H002,AB-,FFP,31,0,0,1,30
2025-01-06,H001,A+,PRBC,57,23,19,2,59
2025-01-06,H001,A+,PLT,21,11,14,1,17
2025-01-06,H001,A+,FFP,11,6,7,1,9
2025-01-06,H001,B+,PRBC,34,20,19,1,34
2025-01-06,H001,B+,PLT,36,8,11,1,32
2025-01-06,H001,B+,FFP,29,4,5,1,27
2025-01-06,H001,O+,PRBC,35,23,21,2,35
2025-01-06,H001,O+,PLT,24,21,17,1,27
2025-01-06,H001,O+,FFP,53,11,9,2,53
2025-01-06,H001,AB+,PRBC,21,5,6,1,19
2025-01-06,H001,AB+,PLT,50,2,5,2,45
2025-01-06,H001,AB+,FFP,39,5,1,1,42
2025-01-06,H001,A-,PRBC,17,6,7,1,15
2025-01-06,H001,A-,PLT,17,3,3,1,16
2025-01-06,H001,A-,FFP,28,2,2,1,27
2025-01-06,H001,B-,PRBC,30,6,5,1,30
2025-01-06,H001,B-,PLT,26,6,4,1,27
2025-01-06,H001,B-,FFP,41,4,2,1,42
2025-01-06,H001,O-,PRBC,51,6,6,1,50
2025-01-06,H001,O-,PLT,15,8,5,1,17
2025-01-06,H001,O-,FFP,58,8,4,2,60
2025-01-06,H001,AB-,PRBC,35,6,4,1,36
2025-01-06,H001,AB-,PLT,55,2,3,2,52
2025-01-06,H001,AB-,FFP,45,4,0,1,48
2025-01-06,H002,A+,PRBC,43,26,22,1,46
2025-01-06,H002,A+,PLT,45,16,15,1,45
2025-01-06,H002,A+,FFP,47,12,8,1,50
2025-01-06,H002,B+,PRBC,33,27,23,1,36
2025-01-06,H002,B+,PLT,14,13,13,1,13
2025-01-06,H002,B+,FFP,29,9,9,1,28
2025-01-06,H002,O+,PRBC,55,32,28,1,58
2025-01-06,H002,O+,PLT,41,25,19,1,46
2025-01-06,H002,O+,FFP,38,7,9,1,35
2025-01-06,H002,AB+,PRBC,30,7,6,1,30
2025-01-06,H002,AB+,PLT,33,8,6,1,34
2025-01-06,H002,AB+,FFP,46,5,3,1,47
2025-01-06,H002,A-,PRBC,25,6,4,1,26
2025-01-06,H002,A-,PLT,13,2,3,1,11
2025-01-06,H002,A-,FFP,42,0,2,1,39
2025-01-06,H002,B-,PRBC,25,7,7,1,24
2025-01-06,H002,B-,PLT,35,5,4,2,34
2025-01-06,H002,B-,FFP,41,1,0,1,41
2025-01-06,H002,O-,PRBC,53,11,8,2,54
2025-01-06,H002,O-,PLT,32,5,5,1,31
2025-01-06,H002,O-,FFP,21,1,0,1,21
2025-01-06,H002,AB-,PRBC,40,0,3,2,35
2025-01-06,H002,AB-,PLT,54,4,2,1,55
2025-01-06,H002,AB-,FFP,30,2,2,2,28
2025-01-07,H001,A+,PRBC,59,22,21,2,58
2025-01-07,H001,A+,PLT,17,21,16,1,21
2025-01-07,H001,A+,FFP,9,5,6,0,8
2025-01-07,H001,B+,PRBC,34,18,17,1,34
2025-01-07,H001,B+,PLT,32,18,16,1,33
2025-01-07,H001,B+,FFP,27,9,6,1,29
2025-01-07,H001,O+,PRBC,35,26,23,1,37
2025-01-07,H001,O+,PLT,27,20,18,1,28
2025-01-07,H001,O+,FFP,53,13,8,1,57
2025-01-07,H001,AB+,PRBC,19,5,6,0,18
2025-01-07,H001,AB+,PLT,45,4,5,1,43
2025-01-07,H001,AB+,FFP,42,1,2,1,40
2025-01-07,H001,A-,PRBC,15,6,5,1,15
2025-01-07,H001,A-,PLT,16,1,3,1,13
2025-01-07,H001,A-,FFP,27,0,1,1,25
2025-01-07,H001,B-,PRBC,30,4,5,1,28
2025-01-07,H001,B-,PLT,27,0,3,1,23
2025-01-07,H001,B-,FFP,42,3,3,1,41
2025-01-07,H001,O-,PRBC,50,5,4,2,49
2025-01-07,H001,O-,PLT,17,7,6,1,17
2025-01-07,H001,O-,FFP,60,6,4,1,61
2025-01-07,H001,AB-,PRBC,36,2,0,2,36
2025-01-07,H001,AB-,PLT,52,5,1,1,55
2025-01-07,H001,AB-,FFP,48,5,0,2,51
2025-01-07,H002,A+,PRBC,46,22,22,1,45
2025-01-07,H002,A+,PLT,45,18,17,2,44
2025-01-07,H002,A+,FFP,50,3,7,1,45
2025-01-07,H002,B+,PRBC,36,28,24,1,39
2025-01-07,H002,B+,PLT,13,21,18,1,15
2025-01-07,H002,B+,FFP,28,12,9,1,30
2025-01-07,H002,O+,PRBC,58,30,30,2,56
2025-01-07,H002,O+,PLT,46,25,22,2,47
2025-01-07,H002,O+,FFP,35,10,10,2,33
2025-01-07,H002,AB+,PRBC,30,6,9,1,26
2025-01-07,H002,AB+,PLT,34,7,5,1,35
2025-01-07,H002,AB+,FFP,47,2,4,2,43
2025-01-07,H002,A-,PRBC,26,7,6,1,26
2025-01-07,H002,A-,PLT,11,3,4,0,10
2025-01-07,H002,A-,FFP,39,3,3,1,38
2025-01-07,H002,B-,PRBC,24,8,6,1,25
2025-01-07,H002,B-,PLT,34,4,4,2,32
2025-01-07,H002,B-,FFP,41,8,3,2,44
2025-01-07,H002,O-,PRBC,54,5,7,2,50
2025-01-07,H002,O-,PLT,31,11,7,1,34
2025-01-07,H002,O-,FFP,21,2,3,0,20
2025-01-07,H002,AB-,PRBC,35,1,3,1,32
2025-01-07,H002,AB-,PLT,55,3,3,2,53
2025-01-07,H002,AB-,FFP,28,0,0,1,27
2025-01-08,H001,A+,PRBC,58,20,20,2,56
2025-01-08,H001,A+,PLT,21,14,14,1,20
2025-01-08,H001,A+,FFP,8,7,6,0,9
2025-01-08,H001,B+,PRBC,34,21,19,1,35
2025-01-08,H001,B+,PLT,33,15,13,1,34
2025-01-08,H001,B+,FFP,29,5,5,1,28
2025-01-08,H001,O+,PRBC,37,26,22,2,39
2025-01-08,H001,O+,PLT,28,22,19,1,30
2025-01-08,H001,O+,FFP,57,8,7,1,57
2025-01-08,H001,AB+,PRBC,18,11,8,1,20
2025-01-08,H001,AB+,PLT,43,5,3,2,43
2025-01-08,H001,AB+,FFP,40,4,4,1,39
2025-01-08,H001,A-,PRBC,15,4,5,1,13
2025-01-08,H001,A-,PLT,13,4,4,1,12
2025-01-08,H001,A-,FFP,25,2,1,1,25
2025-01-08,H001,B-,PRBC,28,4,5,1,26
2025-01-08,H001,B-,PLT,23,4,4,1,22
2025-01-08,H001,B-,FFP,41,4,3,1,41
2025-01-08,H001,O-,PRBC,49,8,7,2,48
2025-01-08,H001,O-,PLT,17,8,5,1,19
2025-01-08,H001,O-,FFP,61,3,2,1,61
2025-01-08,H001,AB-,PRBC,36,2,2,1,35
2025-01-08,H001,AB-,PLT,55,4,2,2,55
2025-01-08,H001,AB-,FFP,51,1,0,1,51
2025-01-08,H002,A+,PRBC,45,21,23,2,41
2025-01-08,H002,A+,PLT,44,17,19,1,41
2025-01-08,H002,A+,FFP,45,10,9,1,45
2025-01-08,H002,B+,PRBC,39,24,23,1,39
2025-01-08,H002,B+,PLT,15,18,17,1,15
2025-01-08,H002,B+,FFP,30,8,9,1,28
2025-01-08,H002,O+,PRBC,56,34,29,2,59
2025-01-08,H002,O+,PLT,47,21,22,1,45
2025-01-08,H002,O+,FFP,33,13,11,1,34
2025-01-08,H002,AB+,PRBC,26,7,7,1,25
2025-01-08,H002,AB+,PLT,35,10,7,1,37
2025-01-08,H002,AB+,FFP,43,4,1,1,45
2025-01-08,H002,A-,PRBC,26,5,7,1,23
2025-01-08,H002,A-,PLT,10,6,5,0,11
2025-01-08,H002,A-,FFP,38,3,2,1,38
2025-01-08,H002,B-,PRBC,25,7,7,1,24
2025-01-08,H002,B-,PLT,32,7,6,1,32
2025-01-08,H002,B-,FFP,44,2,3,1,42
2025-01-08,H002,O-,PRBC,50,7,7,2,48
2025-01-08,H002,O-,PLT,34,5,5,2,32
2025-01-08,H002,O-,FFP,20,1,2,1,18
2025-01-08,H002,AB-,PRBC,32,2,3,1,30
2025-01-08,H002,AB-,PLT,53,2,3,2,50
2025-01-08,H002,AB-,FFP,27,3,0,1,29
2025-01-09,H001,A+,PRBC,56,23,19,2,58
2025-01-09,H001,A+,PLT,20,10,12,1,17
2025-01-09,H001,A+,FFP,9,7,6,0,10
2025-01-09,H001,B+,PRBC,35,16,16,1,34
2025-01-09,H001,B+,PLT,34,15,12,1,36
2025-01-09,H001,B+,FFP,28,6,5,1,28
2025-01-09,H001,O+,PRBC,39,21,22,2,36
2025-01-09,H001,O+,PLT,30,20,18,1,31
2025-01-09,H001,O+,FFP,57,8,8,2,55
2025-01-09,H001,AB+,PRBC,20,7,9,1,17
2025-01-09,H001,AB+,PLT,43,4,5,1,41
2025-01-09,H001,AB+,FFP,39,3,3,1,38
2025-01-09,H001,A-,PRBC,13,3,4,1,11
2025-01-09,H001,A-,PLT,12,6,4,1,13
2025-01-09,H001,A-,FFP,25,2,1,1,25
2025-01-09,H001,B-,PRBC,26,4,5,1,24
2025-01-09,H001,B-,PLT,22,6,6,1,21
2025-01-09,H001,B-,FFP,41,3,2,2,40
2025-01-09,H001,O-,PRBC,48,10,8,1,49
2025-01-09,H001,O-,PLT,19,4,4,1,18
2025-01-09,H001,O-,FFP,61,0,2,2,57
2025-01-09,H001,AB-,PRBC,35,4,4,1,34
2025-01-09,H001,AB-,PLT,55,2,1,2,54
2025-01-09,H001,AB-,FFP,51,6,3,1,53
2025-01-09,H002,A+,PRBC,41,27,24,1,43
2025-01-09,H002,A+,PLT,41,17,16,2,40
2025-01-09,H002,A+,FFP,45,8,9,2,42
2025-01-09,H002,B+,PRBC,39,27,23,1,42
2025-01-09,H002,B+,PLT,15,14,16,1,12
2025-01-09,H002,B+,FFP,28,8,7,1,28
2025-01-09,H002,O+,PRBC,59,28,29,2,56
2025-01-09,H002,O+,PLT,45,20,20,1,44
2025-01-09,H002,O+,FFP,34,13,11,1,35
2025-01-09,H002,AB+,PRBC,25,10,9,1,25
2025-01-09,H002,AB+,PLT,37,6,6,2,35
2025-01-09,H002,AB+,FFP,45,1,2,1,43
2025-01-09,H002,A-,PRBC,23,6,6,1,22
2025-01-09,H002,A-,PLT,11,6,5,1,11
2025-01-09,H002,A-,FFP,38,5,3,1,39
2025-01-09,H002,B-,PRBC,24,8,7,1,24
2025-01-09,H002,B-,PLT,32,7,5,2,32
2025-01-09,H002,B-,FFP,42,0,3,1,38
2025-01-09,H002,O-,PRBC,48,9,8,1,48
2025-01-09,H002,O-,PLT,32,6,4,2,32
2025-01-09,H002,O-,FFP,18,0,3,1,14
2025-01-09,H002,AB-,PRBC,30,2,3,1,28
2025-01-09,H002,AB-,PLT,50,3,2,2,49
2025-01-09,H002,AB-,FFP,29,5,0,1,33
2025-01-10,H001,A+,PRBC,58,18,17,2,57
2025-01-10,H001,A+,PLT,17,16,15,1,17
2025-01-10,H001,A+,FFP,10,8,7,0,11
2025-01-10,H001,B+,PRBC,34,20,18,1,35
2025-01-10,H001,B+,PLT,36,12,13,1,34
2025-01-10,H001,B+,FFP,28,5,6,1,26
2025-01-10,H001,O+,PRBC,36,23,24,1,34
2025-01-10,H001,O+,PLT,31,16,16,1,30
2025-01-10,H001,O+,FFP,55,6,8,1,52
2025-01-10,H001,AB+,PRBC,17,4,6,0,15
2025-01-10,H001,AB+,PLT,41,8,4,2,43
2025-01-10,H001,AB+,FFP,38,5,2,1,40
2025-01-10,H001,A-,PRBC,11,3,5,1,8
2025-01-10,H001,A-,PLT,13,0,3,1,9
2025-01-10,H001,A-,FFP,25,2,3,1,23
2025-01-10,H001,B-,PRBC,24,1,4,1,20
2025-01-10,H001,B-,PLT,21,3,3,1,20
2025-01-10,H001,B-,FFP,40,3,1,1,41
2025-01-10,H001,O-,PRBC,49,7,8,1,47
2025-01-10,H001,O-,PLT,18,6,5,0,19
2025-01-10,H001,O-,FFP,57,4,3,2,56
2025-01-10,H001,AB-,PRBC,34,1,1,1,33
2025-01-10,H001,AB-,PLT,54,1,2,1,52
2025-01-10,H001,AB-,FFP,53,2,2,2,51
2025-01-10,H002,A+,PRBC,43,26,23,2,44
2025-01-10,H002,A+,PLT,40,23,18,2,43
2025-01-10,H002,A+,FFP,42,9,8,1,42
2025-01-10,H002,B+,PRBC,42,23,23,2,40
2025-01-10,H002,B+,PLT,12,20,18,0,14
2025-01-10,H002,B+,FFP,28,7,7,1,27
2025-01-10,H002,O+,PRBC,56,32,29,2,57
2025-01-10,H002,O+,PLT,44,22,23,1,42
2025-01-10,H002,O+,FFP,35,13,12,1,35
2025-01-10,H002,AB+,PRBC,25,8,8,1,24
2025-01-10,H002,AB+,PLT,35,4,6,1,32
2025-01-10,H002,AB+,FFP,43,6,3,1,45
2025-01-10,H002,A-,PRBC,22,2,4,1,19
2025-01-10,H002,A-,PLT,11,4,3,1,11
2025-01-10,H002,A-,FFP,39,2,1,1,39
2025-01-10,H002,B-,PRBC,24,4,5,1,22
2025-01-10,H002,B-,PLT,32,6,4,1,33
2025-01-10,H002,B-,FFP,38,4,2,1,39
2025-01-10,H002,O-,PRBC,48,10,10,2,46
2025-01-10,H002,O-,PLT,32,3,5,1,29
2025-01-10,H002,O-,FFP,14,3,4,1,12
2025-01-10,H002,AB-,PRBC,28,2,3,1,26
2025-01-10,H002,AB-,PLT,49,4,2,1,50
2025-01-10,H002,AB-,FFP,33,3,2,1,33
2025-01-11,H001,A+,PRBC,57,19,16,2,58
2025-01-11,H001,A+,PLT,17,9,11,1,14
2025-01-11,H001,A+,FFP,11,8,6,1,12
2025-01-11,H001,B+,PRBC,35,21,17,1,38
2025-01-11,H001,B+,PLT,34,9,10,1,32
2025-01-11,H001,B+,FFP,26,10,8,1,27
2025-01-11,H001,O+,PRBC,34,25,21,1,37
2025-01-11,H001,O+,PLT,30,12,12,1,29
2025-01-11,H001,O+,FFP,52,4,6,2,48
2025-01-11,H001,AB+,PRBC,15,5,5,1,14
2025-01-11,H001,AB+,PLT,43,0,3,1,39
2025-01-11,H001,AB+,FFP,40,5,3,1,41
2025-01-11,H001,A-,PRBC,8,4,6,1,5
2025-01-11,H001,A-,PLT,9,2,2,1,8
2025-01-11,H001,A-,FFP,23,4,1,1,25
2025-01-11,H001,B-,PRBC,20,6,5,1,20
2025-01-11,H001,B-,PLT,20,4,2,1,21
2025-01-11,H001,B-,FFP,41,1,2,2,38
2025-01-11,H001,O-,PRBC,47,7,6,1,47
2025-01-11,H001,O-,PLT,19,4,2,1,20
2025-01-11,H001,O-,FFP,56,2,3,2,53
2025-01-11,H001,AB-,PRBC,33,8,4,1,36
2025-01-11,H001,AB-,PLT,52,2,1,2,51
2025-01-11,H001,AB-,FFP,51,0,0,1,50
2025-01-11,H002,A+,PRBC,44,22,21,1,44
